gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,75600,5120,5120,2,0,1026.7431,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3860.38,961.62,0.0
gfx950,256,75600,5120,13824,3,0,2546.6145,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4202.35,530.03,0.0
gfx950,256,576,6144,6144,1,0,37.8562,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1148.73,981.58,0.0
gfx950,256,576,6144,18432,1,0,100.3797,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1299.66,969.53,0.0
gfx950,256,576,6144,24576,1,0,131.1026,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1326.79,971.77,0.0
gfx950,256,928,6144,6144,1,0,39.7461,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1762.73,1070.94,0.0
gfx950,256,928,6144,18432,1,0,102.2495,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2055.61,1025.83,0.0
gfx950,256,928,6144,24576,1,0,134.2379,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2087.69,1013.52,0.0
gfx950,256,2112,6144,6144,0,0,47.1735,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3380.09,1287.84,0.0
gfx950,256,2112,6144,18432,3,0,125.5786,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3809.18,1038.0,0.0
gfx950,256,2112,6144,24576,3,0,163.408,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3903.13,1010.66,0.0
gfx950,256,14850,8192,2048,1,0,157.966,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,3154.37,1716.14,0.0
gfx950,256,544,12288,3072,1,0,25.305,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1623.02,1680.16,0.0
gfx950,256,2080,12288,3072,1,0,54.0771,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2903.9,1527.9,0.0
gfx950,256,512,13824,5120,1,0,35.8827,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2019.85,1910.41,0.0
gfx950,256,4095,13824,5120,2,0,170.5041,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3399.8,1036.84,0.0
gfx950,256,5850,13824,5120,2,0,235.1602,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3521.48,977.21,0.0
gfx950,256,9419,13824,5120,2,0,356.9089,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3735.78,945.94,0.0
gfx950,256,9450,13824,5120,2,0,353.0832,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3788.68,958.84,0.0
gfx950,256,13950,13824,5120,2,0,517.2205,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3817.97,917.38,0.0
gfx950,256,14260,13824,5120,2,0,512.5085,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3938.69,944.08,0.0
gfx950,256,18900,13824,5120,2,0,683.3469,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3915.2,913.18,0.0
gfx950,256,37800,13824,5120,2,0,1352.0679,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3957.56,883.79,0.0
gfx950,256,75348,13824,5120,2,0,2691.6544,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3962.65,865.34,0.0
gfx950,256,75600,13824,5120,2,0,2703.494,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3958.49,864.37,0.0
gfx950,256,576,18432,6144,1,0,56.4794,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2309.86,1911.1,0.0
gfx950,256,928,18432,6144,0,0,79.7274,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,2636.29,1530.15,0.0
gfx950,256,2112,18432,6144,0,0,146.5327,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3264.47,1155.23,0.0
gfx950,256,576,55296,6144,1,0,157.7043,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2481.73,2030.85,0.0
gfx950,256,928,55296,6144,1,0,217.9666,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2892.9,1652.93,0.0
gfx950,256,2112,55296,6144,1,0,446.1046,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,3216.86,1109.3,0.0
