gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,14850,2048,2048,0,0,44.2271,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,2816.62,1790.25,0.0
gfx950,256,14850,2048,8192,3,0,128.7153,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3871.2,1042.88,0.0
gfx950,256,544,3072,3072,1,0,22.4157,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,458.06,502.14,0.0
gfx950,256,544,3072,12288,1,0,68.5479,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,599.15,510.54,0.0
gfx950,256,2080,3072,3072,1,0,22.454,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,1748.41,1026.65,0.0
gfx950,256,2080,3072,12288,1,0,69.0898,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,2272.91,779.72,0.0
gfx950,256,512,5120,5120,1,0,32.4149,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,828.12,808.71,0.0
gfx950,256,512,5120,13824,1,0,76.5022,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,947.39,808.68,0.0
gfx950,256,4095,5120,5120,0,0,71.3421,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3009.39,1010.3,0.0
gfx950,256,4095,5120,13824,3,0,174.5208,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3321.55,706.63,0.0
gfx950,256,5850,5120,5120,0,0,82.3766,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3723.25,1147.67,0.0
gfx950,256,5850,5120,13824,3,0,207.4545,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3991.78,739.55,0.0
gfx950,256,9419,5120,5120,0,0,127.0805,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3885.94,1103.43,0.0
gfx950,256,9419,5120,13824,3,0,309.5518,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4307.3,693.39,0.0
gfx950,256,9450,5120,5120,0,0,126.8305,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3906.41,1108.73,0.0
gfx950,256,9450,5120,13824,3,0,311.229,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4298.19,691.36,0.0
gfx950,256,13950,5120,5120,0,0,211.3038,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3461.28,938.08,0.0
gfx950,256,13950,5120,13824,3,0,485.7059,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4065.69,601.92,0.0
gfx950,256,14260,5120,5120,0,0,198.315,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3769.93,1019.53,0.0
gfx950,256,14260,5120,13824,3,0,504.5987,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4000.43,589.92,0.0
gfx950,256,18900,5120,5120,0,0,248.9806,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,3979.85,1050.61,0.0
gfx950,256,18900,5120,13824,3,0,627.3869,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4264.42,601.31,0.0
gfx950,256,37800,5120,5120,3,0,516.3546,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,3838.08,975.11,0.0
gfx950,256,37800,5120,13824,3,0,1259.6799,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4247.81,556.83,0.0
gfx950,256,75348,5120,5120,2,0,1024.0793,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,3857.52,960.98,0.0
gfx950,256,75348,5120,13824,3,0,2538.9276,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,4201.02,529.93,0.0
