tile_M,tile_N,block_size,splitK,bpreshuffle,pack_layout,swizzle_max_M,swizzle_max_N,swizzle_max_K,knl_name,co_name
256,256,256,0,0,mxfp4_c0_mxfp6_256_padk2,0,0,0,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_tE,f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a4_t.co
256,256,256,0,0,mxfp4_c0_mxfp6_256_padk2,0,0,0,_ZN5aiter40f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_ntE,f4f6gemm_bf16_per1x32Fp4Fp6_m32_s0_a5_nt.co
256,256,256,0,0,mxfp4_c0_mxfp6_256_padk2,131072,16384,6144,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_tE,f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a5_t.co
256,256,256,0,0,mxfp4_c0_mxfp6_256_padk2,131072,16384,6144,_ZN5aiter39f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_tE,f4f6gemm_bf16_per1x32Fp4Fp6_m32_s3_a6_t.co
