arch,dtype,num_heads,head_dim,hidden_dim,batch,max_seq_len,has_window,has_contextual,has_targets,kernel,block_m,block_n,num_waves,waves_per_eu,duration_us
gfx942,bf16,4,64,64,1024,16384,False,False,False,dvdk,96,16,2,0,393046.220828
gfx942,bf16,4,64,64,1024,16384,False,False,False,dq,128,32,2,2,72904.458000
gfx942,bf16,4,64,64,1024,16384,False,False,True,dvdk,96,16,2,2,400319.544828
gfx942,bf16,4,64,64,1024,16384,False,False,True,dq,128,32,2,2,75312.479500
gfx942,bf16,8,64,64,1024,16384,False,False,False,dvdk,192,16,4,2,812749.995897
gfx942,bf16,8,64,64,1024,16384,False,False,False,dq,128,32,2,2,145460.234000
gfx942,bf16,8,64,64,1024,16384,False,False,True,dvdk,96,16,2,0,808835.572793
gfx942,bf16,8,64,64,1024,16384,False,False,True,dq,128,32,2,2,150947.721000
gfx942,bf16,4,128,128,1024,16384,False,False,False,dvdk,256,16,4,0,257433.998000
gfx942,bf16,4,128,128,1024,16384,False,False,False,dq,128,32,2,0,157105.850500
gfx942,bf16,8,128,128,1024,16384,False,False,False,dvdk,192,16,4,0,523664.174500
gfx942,bf16,8,128,128,1024,16384,False,False,False,dq,128,32,2,0,320813.724000
gfx950,bf16,4,128,128,120,512,False,False,False,dvdk,32,16,2,1,50.887347826086945
gfx950,bf16,4,128,128,120,512,False,False,False,dq,32,16,2,2,32.09452
gfx950,bf16,4,128,128,120,1024,False,False,False,dvdk,32,32,2,2,122.79704000000005
gfx950,bf16,4,128,128,120,1024,False,False,False,dq,64,16,2,2,75.13336
gfx950,bf16,4,128,128,120,2048,False,False,False,dvdk,32,16,2,0,362.10597916666666
gfx950,bf16,4,128,128,120,2048,False,False,False,dq,64,16,2,1,206.36108000000007
gfx950,bf16,8,128,128,120,512,False,False,False,dvdk,32,32,2,2,92.9803469387755
gfx950,bf16,8,128,128,120,512,False,False,False,dq,32,16,2,2,54.05713999999998
gfx950,bf16,8,128,128,120,1024,False,False,False,dvdk,32,32,2,2,245.76546000000002
gfx950,bf16,8,128,128,120,1024,False,False,False,dq,64,16,2,2,160.11419999999993
gfx950,bf16,8,128,128,120,2048,False,False,False,dvdk,32,16,2,2,710.8935405405405
gfx950,bf16,8,128,128,120,2048,False,False,False,dq,64,16,2,2,390.72994
gfx950,bf16,4,128,128,1024,512,False,False,False,dvdk,32,32,2,2,381.60026470588247
gfx950,bf16,4,128,128,1024,512,False,False,False,dq,32,16,2,1,242.1821
gfx950,bf16,4,128,128,1024,1024,False,False,False,dvdk,32,32,2,2,941.0738999999998
gfx950,bf16,4,128,128,1024,1024,False,False,False,dq,32,16,2,0,596.2419318181818
gfx950,bf16,4,128,128,1024,2048,False,False,False,dvdk,32,16,2,2,2844.730875
gfx950,bf16,4,128,128,1024,2048,False,False,False,dq,64,16,2,0,1616.00280952381
gfx950,bf16,8,128,128,1024,512,False,False,False,dvdk,32,32,2,2,743.2860000000003
gfx950,bf16,8,128,128,1024,512,False,False,False,dq,32,16,2,2,466.71628888888904
gfx950,bf16,8,128,128,1024,1024,False,False,False,dvdk,32,32,2,2,1855.6251111111114
gfx950,bf16,8,128,128,1024,1024,False,False,False,dq,32,16,2,0,1201.5445357142858
gfx950,bf16,8,128,128,1024,2048,False,False,False,dvdk,32,16,2,1,5687.582
gfx950,bf16,8,128,128,1024,2048,False,False,False,dq,64,16,2,0,3247.6611000000003
gfx950,bf16,4,128,128,120,16384,False,False,False,dvdk,64,32,4,0,15919.583750000002
gfx950,bf16,4,128,128,120,16384,False,False,False,dq,64,16,2,0,8292.43475
gfx950,bf16,8,128,128,120,16384,False,False,False,dvdk,64,32,4,1,31804.58275
gfx950,bf16,8,128,128,120,16384,False,False,False,dq,64,16,2,0,16520.41175
gfx950,bf16,4,128,128,1024,16384,False,False,False,dvdk,64,32,4,0,126136.61825
gfx950,bf16,4,128,128,1024,16384,False,False,False,dq,64,16,2,1,65405.782250000004
gfx950,bf16,8,128,128,1024,16384,False,False,False,dvdk,64,32,4,2,252667.87149999998
gfx950,bf16,8,128,128,1024,16384,False,False,False,dq,64,16,2,2,131484.67275000003
gfx950,bf16,4,64,64,120,16384,False,False,False,dvdk,96,16,2,0,5851.717166666666
gfx950,bf16,4,64,64,120,16384,False,False,False,dq,96,16,2,0,4156.335625
gfx950,bf16,4,64,64,120,16384,False,False,True,dvdk,96,16,2,0,5958.191666666666
gfx950,bf16,4,64,64,120,16384,False,False,True,dq,64,16,2,4,4441.907999999999
gfx950,bf16,8,64,64,120,16384,False,False,False,dvdk,96,16,2,1,11644.39075
gfx950,bf16,8,64,64,120,16384,False,False,False,dq,96,16,2,0,8180.740249999999
gfx950,bf16,8,64,64,120,16384,False,False,True,dvdk,96,16,2,0,11841.321250000003
gfx950,bf16,8,64,64,120,16384,False,False,True,dq,64,16,2,4,8797.40425
gfx950,bf16,4,64,64,1024,16384,False,False,False,dvdk,96,16,2,0,46258.60300000001
gfx950,bf16,4,64,64,1024,16384,False,False,False,dq,96,16,2,1,32335.983500000002
gfx950,bf16,4,64,64,1024,16384,False,False,True,dvdk,96,16,2,0,47120.12899999999
gfx950,bf16,4,64,64,1024,16384,False,False,True,dq,96,32,2,0,35148.35775
gfx950,bf16,8,64,64,1024,16384,False,False,False,dvdk,96,16,2,0,93676.78600000001
gfx950,bf16,8,64,64,1024,16384,False,False,False,dq,96,16,2,1,64928.43449999999
gfx950,bf16,8,64,64,1024,16384,False,False,True,dvdk,64,32,2,0,94116.19600000001
gfx950,bf16,8,64,64,1024,16384,False,False,True,dq,64,16,2,4,69940.5535
