gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,416,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1697,8,5.823,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.018,23.41,792.4
gfx950,256,448,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,775,8,5.8592,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0195,25.05,843.78
gfx950,256,480,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,775,8,5.9003,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0201,26.66,893.79
gfx950,256,512,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,553,8,6.1292,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0194,27.37,914.2
gfx950,256,544,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1662,8,6.2182,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0184,28.67,954.14
gfx950,256,576,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1662,8,6.2366,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0183,30.26,1004.2
gfx950,256,608,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1684,8,6.2786,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0193,31.73,1050.0
gfx950,256,640,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1614,8,6.3425,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0188,33.07,1091.41
gfx950,256,672,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1717,8,6.376,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.019,34.54,1137.39
gfx950,256,704,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1684,8,6.4242,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0206,35.91,1180.18
gfx950,256,736,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1614,8,6.4546,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0187,37.36,1225.7
gfx950,256,768,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1614,8,6.6794,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0188,37.68,1233.82
gfx950,256,800,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1649,8,6.5234,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0182,40.19,1313.87
gfx950,256,832,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1684,8,6.5352,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0206,41.72,1361.95
gfx950,256,864,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1684,8,6.5894,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0208,42.97,1400.79
gfx950,256,896,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1649,8,6.7555,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0215,43.46,1415.15
gfx950,256,928,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1719,8,6.7139,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.021,45.29,1473.03
